Source Airport Code,Destination Airport Code,Weight
GIG,EZE,1995.7731423126777
GIG,NAT,2074.7244589809648
GIG,MIA,6717.2367483457
GIG,RAO,502.4166164643706
GIG,AMS,9559.690674613925
GIG,FCO,9171.02968027388
GIG,SSA,1217.906484765976
GIG,JFK,7729.328925541569
GIG,ATL,7641.493951562749
GIG,CGH,359.66370985985907
GIG,CWB,672.7076550248001
GIG,FOR,2176.517061771464
GIG,MVD,1823.8963903712424
GIG,LIS,7715.151310912885
GIG,LAD,6200.346105923876
GIG,POA,1122.0170638509526
GIG,GYN,928.3685468290632
GIG,FLN,759.0277322983195
GIG,SCL,2934.104537597367
GIG,PTY,5295.014806930716
GIG,MCZ,1678.6329306681841
GIG,SLZ,2251.3763086391173
GIG,CNF,362.021691077455
GIG,MAO,2847.565135081883
GIG,DFW,8419.425372303096
GIG,REC,1859.2143854426706
GIG,IGU,1180.4033794957315
GIG,VCP,398.404339155779
GIG,VIX,417.7271078251977
GIG,AEP,1969.17893524384
GIG,BEL,2448.9105009378222
GIG,LIM,3776.6462595429143
GIG,CGR,1208.5388439958094
GIG,CLT,7576.463943719251
GIG,FRA,9568.420991920615
GIG,LHR,9253.29596661796
GIG,IAH,8087.614908241645
GIG,DXB,11883.86741085091
GIG,OPO,7965.285535241404
GIG,AJU,1469.547216663527
GIG,LFW,5811.897263340022
GIG,CGB,1566.514429312221
GIG,NVT,708.2060944794433
GIG,MAD,8146.395194884732
BSB,MAO,1948.6099757232146
BSB,IOS,960.1243408745942
BSB,SDU,928.2303734842748
BSB,JPA,1712.9026192187273
BSB,SSA,1084.7528931006575
BSB,FLN,1313.8354442906157
BSB,OPS,938.3890738924538
BSB,NAT,1770.0598931071909
BSB,MIA,5807.66497523685
BSB,GYN,162.63428995014127
BSB,RAO,585.885368154511
BSB,POA,1605.2710446787855
BSB,CNF,590.9032720427012
BSB,AJU,1292.7050434263738
BSB,PVH,1908.7506673067392
BSB,SLZ,1531.2548465003383
BSB,UDI,336.7438909221276
BSB,MCZ,1492.8890909948748
BSB,FOR,1691.6957616202412
BSB,PMW,622.0032093595528
BSB,VCP,797.9988021718653
BSB,MAB,1175.1409010667285
BSB,CDG,8756.301766508599
BSB,CGH,872.6035795314019
BSB,CGR,877.4859243908201
BSB,ATL,6728.701050763745
BSB,RBR,2264.3962941471273
BSB,REC,1654.0321464973426
BSB,BRA,525.6465788775412
BSB,THE,1324.4911502196157
BSB,LIS,7293.5297510031005
BSB,CWB,1081.9455400375748
BSB,PNZ,1076.5859695446802
BSB,MQH,259.66280516830415
BSB,BEL,1612.3555242914354
BSB,EZE,2358.241106387161
BSB,GRU,854.8675497783696
BSB,PTY,4437.341735836478
BSB,IMP,1150.6184234387033
BSB,CGB,877.3487427402813
BSB,JDO,1345.8954214725782
BSB,SJP,572.0225819858342
BSB,AUX,961.4979840857687
BSB,VIX,942.8766844638379
TSF,BRI,622.3065400644434
TSF,CAG,756.3591180377875
TSF,HHN,603.2710618029143
TSF,RYG,1529.63983163552
TSF,AHO,641.2428032026626
TSF,TSR,709.5558611509693
TSF,IEV,1452.345692367157
TSF,CMN,2168.0414885474643
TSF,LBA,1346.799691694182
TSF,MLA,1105.4211673414457
TSF,OTP,1095.2402215494037
TSF,SKP,859.6560174507043
TSF,CLJ,892.3336562356297
TSF,PRG,518.4462014668185
TSF,EIN,816.6834392856623
TSF,STN,1115.304325819834
TSF,EMA,1262.0299442965463
TSF,BRU,815.7140367181225
TSF,SUF,820.1379976574605
TSF,BRE,858.7212704922791
TSF,PMO,834.1827134430881
TSF,TPS,860.6576450486191
TSF,BUD,575.3999591375307
TSF,VLC,1241.3338649525103
TSF,CRL,784.8343573375815
TSF,BLL,1142.1617514172792
TSF,LWO,992.5538244681114
TSF,BCN,947.8625125249964
TSF,NYO,1495.1312978916064
TSF,CHQ,1508.140455153445
TSF,BDS,724.6708983769103
TSF,BRS,1266.705884908268
TSF,CTA,940.4376760258879
TSF,AGP,1711.545405030392
TSF,BVA,865.9077468999365
TSF,KIV,1291.3770244682912
TSF,NRN,797.0033964293011
TSF,DUB,1581.0257210597376
BRI,CIA,354.73125001555894
BRI,NRN,1417.2038095677394
BRI,CGN,1309.7464818632143
BRI,VCE,602.2204688194759
BRI,DUS,1363.0304525869194
BRI,FCO,383.80685872062634
BRI,LGW,1708.572467378279
BRI,TXL,1296.7090758937477
BRI,BCN,1226.700246417452
BRI,OTP,849.7969732520465
BRI,MXP,818.3460981535497
BRI,BGY,760.5340713146111
BRI,BVA,1467.8803116508607
BRI,MUC,892.8066628954841
BRI,BUD,727.1720497019819
BRI,CDG,1414.4292866712847
BRI,SVQ,1987.265265795539
BRI,DUB,2193.016384294618
BRI,MST,1375.6388147069215
BRI,AMS,1538.04473515216
